order_id,most_recent_status,most_recent_status_change_time,preceding_event_time,following_event_time,period_of_time,count_polling_events,status_code,count_status_code,error_code,count_error_code
102517631,,,2020-02-26T13:00:14.793+01:00,2020-02-26T13:00:30.243+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102540074,,,2020-02-26T14:56:28.978+01:00,2020-02-26T14:56:44.982+01:00,ONE_HOUR_BEFORE,231,200,231,,231
102540074,,,2020-02-26T14:56:28.978+01:00,2020-02-26T14:56:44.982+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102540074,,,2020-02-26T14:56:28.978+01:00,2020-02-26T14:56:44.982+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102541072,,,2020-02-26T15:01:45.878+01:00,2020-02-26T15:03:55.483+01:00,ONE_HOUR_BEFORE,84,200,83,,83
102541072,,,2020-02-26T15:01:45.878+01:00,2020-02-26T15:03:55.483+01:00,ONE_HOUR_BEFORE,84,0,1,ECONNABORTED,1
102541072,,,2020-02-26T15:01:45.878+01:00,2020-02-26T15:03:55.483+01:00,THREE_MINUTES_BEFORE,5,200,5,,5
102541072,,,2020-02-26T15:01:45.878+01:00,2020-02-26T15:03:55.483+01:00,THREE_MINUTES_AFTER,5,200,5,,5
102571599,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_AFTER,,,,,
102571599,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,ONE_HOUR_BEFORE,,,,,
102571599,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_BEFORE,,,,,
102633195,,,2020-02-26T20:40:44.316+01:00,2020-02-26T20:40:59.643+01:00,ONE_HOUR_BEFORE,234,200,234,,234
102633195,,,2020-02-26T20:40:44.316+01:00,2020-02-26T20:40:59.643+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102633195,,,2020-02-26T20:40:44.316+01:00,2020-02-26T20:40:59.643+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102644931,,,2020-02-26T21:17:01.375+01:00,2020-02-26T21:28:26.729+01:00,ONE_HOUR_BEFORE,26,200,26,,26
102644931,,,2020-02-26T21:17:01.375+01:00,2020-02-26T21:28:26.729+01:00,THREE_MINUTES_AFTER,4,200,4,,4
102644931,,,2020-02-26T21:17:01.375+01:00,2020-02-26T21:28:26.729+01:00,THREE_MINUTES_BEFORE,,,,,
102648123,,,2020-02-26T21:44:36.345+01:00,2020-02-26T21:44:53.428+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102648123,,,2020-02-26T21:44:36.345+01:00,2020-02-26T21:44:53.428+01:00,ONE_HOUR_BEFORE,209,200,209,,209
102648123,,,2020-02-26T21:44:36.345+01:00,2020-02-26T21:44:53.428+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102650281,,,2020-02-26T22:01:37.060+01:00,2020-02-26T22:01:52.287+01:00,THREE_MINUTES_AFTER,4,200,4,,4
102650281,,,2020-02-26T22:01:37.060+01:00,2020-02-26T22:01:52.287+01:00,THREE_MINUTES_BEFORE,14,200,14,,14
102650281,,,2020-02-26T22:01:37.060+01:00,2020-02-26T22:01:52.287+01:00,ONE_HOUR_BEFORE,425,200,425,,425
102650480,,,2020-02-26T21:57:55.558+01:00,2020-02-26T21:58:10.850+01:00,ONE_HOUR_BEFORE,233,200,233,,233
102650480,,,2020-02-26T21:57:55.558+01:00,2020-02-26T21:58:10.850+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102650480,,,2020-02-26T21:57:55.558+01:00,2020-02-26T21:58:10.850+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102482173,,,2020-02-26T08:37:51.945+01:00,2020-02-26T08:38:07.308+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102482173,,,2020-02-26T08:37:51.945+01:00,2020-02-26T08:38:07.308+01:00,ONE_HOUR_BEFORE,231,200,231,,231
102482173,,,2020-02-26T08:37:51.945+01:00,2020-02-26T08:38:07.308+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102494709,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_BEFORE,,,,,
102494709,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,ONE_HOUR_BEFORE,18,200,18,,18
102494709,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,THREE_MINUTES_AFTER,,,,,
102502447,,,2020-02-26T11:41:47.398+01:00,2020-02-26T11:42:02.634+01:00,ONE_HOUR_BEFORE,232,200,232,,232
102502447,,,2020-02-26T11:41:47.398+01:00,2020-02-26T11:42:02.634+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102502447,,,2020-02-26T11:41:47.398+01:00,2020-02-26T11:42:02.634+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102523786,,,2020-02-26T13:30:48.534+01:00,2020-02-26T13:31:03.853+01:00,THREE_MINUTES_BEFORE,11,200,11,,11
102523786,,,2020-02-26T13:30:48.534+01:00,2020-02-26T13:31:03.853+01:00,THREE_MINUTES_AFTER,12,200,12,,12
102523786,,,2020-02-26T13:30:48.534+01:00,2020-02-26T13:31:03.853+01:00,ONE_HOUR_BEFORE,232,200,232,,232
102542105,,,2020-02-26T12:05:46.041+01:00,2020-02-26T17:07:39.593+01:00,ONE_HOUR_BEFORE,,,,,
102542105,,,2020-02-26T12:05:46.041+01:00,2020-02-26T17:07:39.593+01:00,THREE_MINUTES_AFTER,,,,,
102542105,,,2020-02-26T12:05:46.041+01:00,2020-02-26T17:07:39.593+01:00,THREE_MINUTES_BEFORE,,,,,
102558011,,,2020-02-26T16:27:40.893+01:00,2020-02-26T16:27:56.328+01:00,THREE_MINUTES_BEFORE,7,0,1,ECONNABORTED,1
102558011,,,2020-02-26T16:27:40.893+01:00,2020-02-26T16:27:56.328+01:00,ONE_HOUR_BEFORE,219,0,3,ECONNABORTED,3
102558011,,,2020-02-26T16:27:40.893+01:00,2020-02-26T16:27:56.328+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102558011,,,2020-02-26T16:27:40.893+01:00,2020-02-26T16:27:56.328+01:00,ONE_HOUR_BEFORE,219,200,216,,216
102558011,,,2020-02-26T16:27:40.893+01:00,2020-02-26T16:27:56.328+01:00,THREE_MINUTES_BEFORE,7,200,6,,6
102560337,,,2020-02-26T16:46:03.585+01:00,2020-02-26T16:46:18.921+01:00,ONE_HOUR_BEFORE,230,200,229,,229
102560337,,,2020-02-26T16:46:03.585+01:00,2020-02-26T16:46:18.921+01:00,ONE_HOUR_BEFORE,230,0,1,ECONNABORTED,1
102560337,,,2020-02-26T16:46:03.585+01:00,2020-02-26T16:46:18.921+01:00,THREE_MINUTES_BEFORE,12,200,12,,12
102560337,,,2020-02-26T16:46:03.585+01:00,2020-02-26T16:46:18.921+01:00,THREE_MINUTES_AFTER,11,200,11,,11
102580281,,,2020-02-26T10:39:27.997+01:00,2020-02-26T21:27:05.656+01:00,ONE_HOUR_BEFORE,,,,,
